RollNo	InstallmentNo	PayMode	ChequeNo	ChequeDate	DrawnOn	ReceiptNo	BankPunchNo	FinalAmt	AdvanceAmt	BalanceAmt	LateFee	CreatedBy	CreatedDate	LastUpdatedBy	LastUpdatedDate	SchoolCode	Reclot	sendtoac	receivedate	chkbounce	reason	ForSession	Narration	ChqBounceFee
S0500010	5	CHEQUE	125523	00:00.0	ICICI BANK	1113	NULL	29250	0	0	0	lallan	32:49.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802813	5	CHEQUE	125524	00:00.0	ICICI BANK	1114		28450	0	0	0	lallan	34:17.0	lallan	59:22.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802318	5	CHEQUE	161913	00:00.0	ICICI BANK	1115	NULL	28450	0	0	0	lallan	37:06.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802753	5	CHEQUE	382910	00:00.0	UTI	1116	NULL	26800	0	0	0	lallan	37:27.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0601235	5	CHEQUE	553695	00:00.0	ICICI BANK	1117	NULL	27600	0	0	0	lallan	39:26.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903400	5	CHEQUE	291932	00:00.0	HDFC BANK	1118		11250	0	0	0	lallan	41:36.0	lallan	25:59.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903571	5	CHEQUE	76654	00:00.0	STATE BANK OF INDIA	1119	NULL	11250	0	0	0	lallan	42:42.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802509	5	CHEQUE	515949	00:00.0	ICICI BANK	1120	NULL	26800	0	0	0	lallan	43:01.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903661	5	CHEQUE	515947	00:00.0	ICICI BANK	1121	NULL	9600	0	0	0	lallan	43:43.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600641	5	CHEQUE	138427	00:00.0	CITI BANK	1122	NULL	27600	0	0	0	lallan	44:17.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802823	5	CHEQUE	515950	00:00.0	ICICI BANK	1123	NULL	26800	0	0	0	lallan	44:52.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903602	5	CHEQUE	515948	00:00.0	ICICI BANK	1124	NULL	9600	0	0	0	lallan	45:39.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903604	5	CHEQUE	636320	00:00.0	BANK OF BARODA	1125	NULL	9600	0	0	0	lallan	47:02.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600514	5	CHEQUE	728117	00:00.0	HDFC BANK	1126	NULL	29800	0	0	0	lallan	47:06.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903506	5	CHEQUE	851136	00:00.0	AXIS	1127	NULL	11250	0	0	0	lallan	47:55.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701844	5	CHEQUE	67521	00:00.0	ALLAHABAD BANK	1128	NULL	27200	0	0	0	lallan	48:25.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903491	5	CHEQUE	85884	00:00.0	HDFC BANK	1129	NULL	9600	0	0	0	lallan	49:16.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0500314	5	CHEQUE	233867	00:00.0	HDFC BANK	1130		29250	0	0	0	lallan	50:37.0	admin	15:56.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903757	5	CHEQUE	462046	00:00.0	ICICI BANK	1131	NULL	11250	0	0	0	lallan	52:38.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0702068	5	CHEQUE	301619	00:00.0	ICICI BANK	1132	NULL	28850	0	0	0	lallan	54:08.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
