UserId	RecId	Item	ItemType	Variety	ForeQty	ForeMonth	QltyParam	UnderKPK	UOM	ForeYear
madan0970	9859	Fertilizer	Urea	Shri Ram	3	May	Shri Ram	KPK0970	bags	2012
murli0970	450	Fertilizer	Urea	NULL	6	May	Shriram	KPK0970	bags	2012
boduram0970	9952	Fertilizer	Urea	Shri Ram	2	May	Shri Ram	KPK0970	bags	2012
skyadav0970	478	Fertilizer	Urea	Shri Ram	6	May	Shri Ram	KPK0970	bags	2012
arjun0970	9956	Fertilizer	DAP	IFFCO	3	May	IFFCO	KPK0970	bags	2012
mlyadav	197	Fertilizer	Urea	Shri Ram	7	May	Shri Ram	KPK0970	bags	2012
gyadav0970	433	Fertilizer	Urea	Shri Ram	2	May	Shri ram	KPK0970	bags	2012
murli0970	490	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
jagdish0970	9924	Fertilizer	DAP	IFFCO	1	May	IFFCO	KPK0970	bags	2012
kmal0970	548	Seed	Pearl Millet	NULL	0.08	May	BK-560	KPK0970	qntls	2012
madanlal0970	302	Fertilizer	DAP	IFFCO	4	May	IFFCO	KPK0970	bags	2012
govind0970	9951	Seed	Groundnut		2	May	Rasdar	KPK0970	qntls	2012
raghu0970	366	Fertilizer	Urea	NULL	3	May	Shriram	KPK0970	bags	2012
gyadav0970	375	Seed	Groundnut	NULL	2	May	rasdar	KPK0970	qntls	2012
kcyadav0970	434	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
ryadav0970	7	Fertilizer	Urea	Shri Ram	4	May	Shri ram	KPK0970	bags	2012
ypsyadav0970	509	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
girdharilal0970	169	Fertilizer	DAP	IFFCO	10	May	IFFCO	KPK0970	bags	2012
arjun0970	9957	Seed	Groundnut		5	May	Rasdar	KPK0970	qntls	2012
kajod0970	9916	Seed	Pearl Millet		0.07	May	Mahyco	KPK0970	qntls	2012
pyadav0970	482	Fertilizer	Urea	NULL	2	May	Shriram	KPK0970	bags	2012
suwalal0970	9898	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
rpyadav0970	467	Fertilizer	Urea	Shri Ram	6	May	Shri Ram	KPK0970	bags	2012
godharam0970	137	Fertilizer	Urea	Shri Ram	3	May	Shri Ram	KPK0970	bags	2012
Mohan0970	271	Fertilizer	Urea	Shri Ram	2	May	Shri Ram	KPK0970	bags	2012
raghunath0970	570	Fertilizer	Urea	NULL	5	May	Shri Ram	KPK0970	bags	2012
bhagi0970	9961	Seed	Groundnut		8	May	Rasdar	KPK0970	qntls	2012
pdyadav10970	198	Fertilizer	DAP	IFFCO	4	May	IFFCO	KPK0970	bags	2012
girdharilal0970	153	Fertilizer	Urea	Shri Ram	6	May	Shri Ram	KPK0970	bags	2012
rudaram0970	140	Seed	Groundnut	NULL	5	May	Rasdar	KPK0970	qntls	2012
govind0970	9950	Fertilizer	DAP	IFFCO	1	May	IFFCO	KPK0970	bags	2012
jnyadav0970	115	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
bhagirath0970	9947	Seed	Groundnut		1	May	Rasdar	KPK0970	qntls	2012
kmal0970	400	Fertilizer	Urea	NULL	8	May	Shriram	KPK0970	bags	2012
klyadav0970	453	Fertilizer	Urea	Shri Ram	7	May	Shri ram	KPK0970	bags	2012
jnyadav0970	114	Fertilizer	Urea	Shri Ram	2	May	Shri Ram	KPK0970	bags	2012
jnyadav0970	10	Seed	Groundnut	NULL	1	May	Rasdar	KPK0970	qntls	2012
ganpat0970	101	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
