Product	Duration	Month	Year	Location	TargetSales
SAISON DUPONT	7/1/12 12:00 AM	July	2012	GOA	0
SAISON DUPONT	7/1/12 12:00 AM	July	2012	CDG	0
SAISON DUPONT	7/1/12 12:00 AM	July	2012	RAJ	0
SAISON DUPONT	7/1/12 12:00 AM	July	2012	KOL	0
DUVEL	8/1/12 12:00 AM	Aug	2012	DEL	125
DUVEL	8/1/12 12:00 AM	Aug	2012	MUM	15
DUVEL	8/1/12 12:00 AM	Aug	2012	PUN	10
DUVEL	8/1/12 12:00 AM	Aug	2012	GGN	10
DUVEL	8/1/12 12:00 AM	Aug	2012	GOA	0
DUVEL	8/1/12 12:00 AM	Aug	2012	CDG	5
DUVEL	8/1/12 12:00 AM	Aug	2012	RAJ	5
DUVEL	8/1/12 12:00 AM	Aug	2012	KOL	15
LIEFMANS	8/1/12 12:00 AM	Aug	2012	DEL	100
LIEFMANS	8/1/12 12:00 AM	Aug	2012	MUM	10
LIEFMANS	8/1/12 12:00 AM	Aug	2012	PUN	5
LIEFMANS	8/1/12 12:00 AM	Aug	2012	GGN	5
LIEFMANS	8/1/12 12:00 AM	Aug	2012	GOA	0
LIEFMANS	8/1/12 12:00 AM	Aug	2012	CDG	0
LIEFMANS	8/1/12 12:00 AM	Aug	2012	RAJ	5
LIEFMANS	8/1/12 12:00 AM	Aug	2012	KOL	0
CHIMAY	8/1/12 12:00 AM	Aug	2012	DEL	75
CHIMAY	8/1/12 12:00 AM	Aug	2012	MUM	10
CHIMAY	8/1/12 12:00 AM	Aug	2012	PUN	10
CHIMAY	8/1/12 12:00 AM	Aug	2012	GGN	10
CHIMAY	8/1/12 12:00 AM	Aug	2012	GOA	0
CHIMAY	8/1/12 12:00 AM	Aug	2012	CDG	5
CHIMAY	8/1/12 12:00 AM	Aug	2012	RAJ	5
CHIMAY	8/1/12 12:00 AM	Aug	2012	KOL	0
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	DEL	75
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	MUM	15
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	PUN	10
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	GGN	10
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	GOA	0
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	CDG	0
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	RAJ	5
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	KOL	0
FRUEH	8/1/12 12:00 AM	Aug	2012	DEL	75
FRUEH	8/1/12 12:00 AM	Aug	2012	MUM	15
FRUEH	8/1/12 12:00 AM	Aug	2012	PUN	10
FRUEH	8/1/12 12:00 AM	Aug	2012	GGN	10
FRUEH	8/1/12 12:00 AM	Aug	2012	GOA	0
FRUEH	8/1/12 12:00 AM	Aug	2012	CDG	5
FRUEH	8/1/12 12:00 AM	Aug	2012	RAJ	5
FRUEH	8/1/12 12:00 AM	Aug	2012	KOL	0
ESTRELLA DAMM	8/1/12 12:00 AM	Aug	2012	DEL	100
ESTRELLA DAMM	8/1/12 12:00 AM	Aug	2012	MUM	30
ESTRELLA DAMM	8/1/12 12:00 AM	Aug	2012	PUN	25
ESTRELLA DAMM	8/1/12 12:00 AM	Aug	2012	GGN	35
ESTRELLA DAMM	8/1/12 12:00 AM	Aug	2012	GOA	0
ESTRELLA DAMM	8/1/12 12:00 AM	Aug	2012	CDG	10
ESTRELLA DAMM	8/1/12 12:00 AM	Aug	2012	RAJ	15
ESTRELLA DAMM	8/1/12 12:00 AM	Aug	2012	KOL	20
BROOKLYN LAGER	8/1/12 12:00 AM	Aug	2012	DEL	150
BROOKLYN LAGER	8/1/12 12:00 AM	Aug	2012	MUM	15
BROOKLYN LAGER	8/1/12 12:00 AM	Aug	2012	PUN	15
BROOKLYN LAGER	8/1/12 12:00 AM	Aug	2012	GGN	10
BROOKLYN LAGER	8/1/12 12:00 AM	Aug	2012	GOA	0
BROOKLYN LAGER	8/1/12 12:00 AM	Aug	2012	CDG	0
BROOKLYN LAGER	8/1/12 12:00 AM	Aug	2012	RAJ	5
BROOKLYN LAGER	8/1/12 12:00 AM	Aug	2012	KOL	0
BROOKLYN IPA	8/1/12 12:00 AM	Aug	2012	DEL	75
BROOKLYN IPA	8/1/12 12:00 AM	Aug	2012	MUM	15
BROOKLYN IPA	8/1/12 12:00 AM	Aug	2012	PUN	15
BROOKLYN IPA	8/1/12 12:00 AM	Aug	2012	GGN	10
BROOKLYN IPA	8/1/12 12:00 AM	Aug	2012	GOA	0
BROOKLYN IPA	8/1/12 12:00 AM	Aug	2012	CDG	0
BROOKLYN IPA	8/1/12 12:00 AM	Aug	2012	RAJ	5
BROOKLYN IPA	8/1/12 12:00 AM	Aug	2012	KOL	15
SAISON DUPONT	8/1/12 12:00 AM	Aug	2012	DEL	0
SAISON DUPONT	8/1/12 12:00 AM	Aug	2012	MUM	0
SAISON DUPONT	8/1/12 12:00 AM	Aug	2012	PUN	0
SAISON DUPONT	8/1/12 12:00 AM	Aug	2012	GGN	0
SAISON DUPONT	8/1/12 12:00 AM	Aug	2012	GOA	0
SAISON DUPONT	8/1/12 12:00 AM	Aug	2012	CDG	0
SAISON DUPONT	8/1/12 12:00 AM	Aug	2012	RAJ	0
SAISON DUPONT	8/1/12 12:00 AM	Aug	2012	KOL	0
DUVEL	9/1/12 12:00 AM	Sep	2012	DEL	125
DUVEL	9/1/12 12:00 AM	Sep	2012	MUM	20
DUVEL	9/1/12 12:00 AM	Sep	2012	PUN	20
DUVEL	9/1/12 12:00 AM	Sep	2012	GGN	10
DUVEL	9/1/12 12:00 AM	Sep	2012	GOA	50
DUVEL	9/1/12 12:00 AM	Sep	2012	CDG	10
DUVEL	9/1/12 12:00 AM	Sep	2012	RAJ	3
DUVEL	9/1/12 12:00 AM	Sep	2012	KOL	30
LIEFMANS	9/1/12 12:00 AM	Sep	2012	DEL	100
LIEFMANS	9/1/12 12:00 AM	Sep	2012	MUM	20
LIEFMANS	9/1/12 12:00 AM	Sep	2012	PUN	15
LIEFMANS	9/1/12 12:00 AM	Sep	2012	GGN	5
LIEFMANS	9/1/12 12:00 AM	Sep	2012	GOA	0
LIEFMANS	9/1/12 12:00 AM	Sep	2012	CDG	0
LIEFMANS	9/1/12 12:00 AM	Sep	2012	RAJ	3
LIEFMANS	9/1/12 12:00 AM	Sep	2012	KOL	0
CHIMAY	9/1/12 12:00 AM	Sep	2012	DEL	75
CHIMAY	9/1/12 12:00 AM	Sep	2012	MUM	25
CHIMAY	9/1/12 12:00 AM	Sep	2012	PUN	20
CHIMAY	9/1/12 12:00 AM	Sep	2012	GGN	10
CHIMAY	9/1/12 12:00 AM	Sep	2012	GOA	0
CHIMAY	9/1/12 12:00 AM	Sep	2012	CDG	10
CHIMAY	9/1/12 12:00 AM	Sep	2012	RAJ	3
CHIMAY	9/1/12 12:00 AM	Sep	2012	KOL	0
WEIHENSTEPHANER	9/1/12 12:00 AM	Sep	2012	DEL	150
WEIHENSTEPHANER	9/1/12 12:00 AM	Sep	2012	MUM	40
WEIHENSTEPHANER	9/1/12 12:00 AM	Sep	2012	PUN	25
WEIHENSTEPHANER	9/1/12 12:00 AM	Sep	2012	GGN	25
WEIHENSTEPHANER	9/1/12 12:00 AM	Sep	2012	GOA	50
WEIHENSTEPHANER	9/1/12 12:00 AM	Sep	2012	CDG	0
WEIHENSTEPHANER	9/1/12 12:00 AM	Sep	2012	RAJ	3
WEIHENSTEPHANER	9/1/12 12:00 AM	Sep	2012	KOL	0
FRUEH	9/1/12 12:00 AM	Sep	2012	DEL	150
FRUEH	9/1/12 12:00 AM	Sep	2012	MUM	40
FRUEH	9/1/12 12:00 AM	Sep	2012	PUN	25
FRUEH	9/1/12 12:00 AM	Sep	2012	GGN	25
FRUEH	9/1/12 12:00 AM	Sep	2012	GOA	0
FRUEH	9/1/12 12:00 AM	Sep	2012	CDG	10
FRUEH	9/1/12 12:00 AM	Sep	2012	RAJ	3
FRUEH	9/1/12 12:00 AM	Sep	2012	KOL	0
ESTRELLA DAMM	9/1/12 12:00 AM	Sep	2012	DEL	100
ESTRELLA DAMM	9/1/12 12:00 AM	Sep	2012	MUM	75
ESTRELLA DAMM	9/1/12 12:00 AM	Sep	2012	PUN	50
ESTRELLA DAMM	9/1/12 12:00 AM	Sep	2012	GGN	30
ESTRELLA DAMM	9/1/12 12:00 AM	Sep	2012	GOA	50
ESTRELLA DAMM	9/1/12 12:00 AM	Sep	2012	CDG	20
ESTRELLA DAMM	9/1/12 12:00 AM	Sep	2012	RAJ	10
